source	target
485	550
485	1230
485	1417
486	578
486	706
486	1345
487	891
488	621
488	735
488	958
488	1203
489	2447
490	767
491	563
491	523
491	616
563	2186
492	500
492	864
492	1078
492	1114
492	1170
492	1346
492	1485
492	1508
492	1722
492	1997
493	495
493	789
494	920
494	894
894	960
894	1876
894	2079
495	515
495	1889
496	505
496	1276
496	1392
496	1426
496	1464
496	1478
496	1830
496	2370
497	955
498	859
498	932
498	1681
499	547
499	779
499	1127
500	555
500	713
500	1664
500	1951
502	893
502	1289
502	1818
504	989
504	1072
504	1808
504	1969
506	782
782	559
507	942
507	967
2040	1702
2040	1260
509	750
509	961
509	1735
750	765
750	1874
510	741
510	1896
741	1122
1896	961
1896	1874
511	1033
511	1049
511	1903
512	599
513	982
513	1012
514	927
514	1125
514	1707
515	568
515	640
515	1486
516	583
516	623
516	2489
517	1796
519	978
978	881
978	729
978	2083
520	1445
520	610
520	679
520	1039
520	1623
1445	760
1445	614
1445	1446
1445	1500
522	676
522	1019
522	1616
522	1960
523	602
523	762
523	2176
524	807
525	890
525	905
526	733
526	918
527	949
528	927
529	540
530	594
530	730
530	1008
530	1079
530	1406
530	1411
530	1904
530	1905
530	1943
530	2001
530	2054
530	2289
530	2430
530	2524
531	805
531	1925
532	777
532	860
533	719
533	859
534	853
534	865
534	1978
535	538
535	705
535	754
535	1221
536	778
537	775
539	875
540	555
540	1032
540	1935
541	682
542	572
542	1361
544	560
544	722
544	1197
545	590
545	968
545	1754
545	2514
546	1571
548	2487
548	681
548	2077
2487	2470
2487	2070
549	2013
2013	650
2013	810
2013	2209
551	727
551	753
551	1373
552	562
552	571
552	746
552	1015
562	556
562	558
562	571
562	798
2135	774
2135	2060
2135	2392
555	1682
556	732
557	565
557	569
558	627
558	726
558	784
558	854
559	1218
560	1217
561	868
561	1671
561	712
561	1329
868	806
868	1026
1671	1422
1671	1514
2186	2051
2186	2144
2186	2259
2186	2453
565	581
565	679
565	887
565	1038
565	1254
565	1426
567	579
570	1096
570	1734
572	1348
572	1541
572	1785
573	597
573	915
574	700
574	709
574	991
574	1060
575	800
575	1399
576	1151
576	1759
578	1111
578	1180
579	732
579	808
579	1405
580	703
580	620
580	1098
580	1561
580	1587
580	1596
703	620
581	788
581	1294
581	1382
582	2100
583	778
583	936
583	1044
584	930
585	1075
587	707
587	806
588	837
588	785
837	1177
837	848
837	983
837	1163
837	2271
592	651
593	602
595	2335
2335	2176
2335	2372
596	1240
596	1625
597	1137
598	657
598	850
598	875
598	883
598	914
598	977
598	2026
601	830
601	1494
602	609
602	1022
602	1205
602	1396
605	1988
605	668
605	716
605	1318
605	1559
605	1914
1988	870
1988	1033
1988	2415
606	1944
606	653
606	1344
1944	1855
1944	2234
607	1030
607	1685
1030	677
1030	1828
1030	2359
608	797
609	623
609	716
609	1867
610	668
611	877
611	1020
611	1046
611	1128
611	1288
612	959
612	1257
613	1359
613	1440
613	1519
613	1541
613	1703
613	2179
614	635
614	688
614	724
614	825
614	1072
614	1303
614	2355
615	1655
615	1750
615	2236
